32356,3
-9.91792599543286e-06,-1.74392617472613e-06,0
-1.15339903917294e-05,1.13685254224271e-06,1.2565397438e-10
-1.11344694311756e-05,1.62856558147046e-06,1.418471268767e-08
-1.08970530168638e-05,1.57173727968181e-06,1.376765561153e-08
-1.08686399508578e-05,1.54957919813786e-06,1.46177833214e-08
-1.08613837186842e-05,1.55294010500527e-06,1.637552484464e-08
-1.0860264474313e-05,1.55258425191008e-06,1.36847206497027e-05
-1.08602618692955e-05,1.55269730716143e-06,1.910386117023e-05
-1.08602667808352e-05,1.55269038157256e-06,1.91022129747025e-05
-1.08602694912112e-05,1.55268880213286e-06,1.90994442075814e-05
-1.08602706011221e-05,1.55268858679484e-06,1.9871754365194e-05
-1.0860270629176e-05,1.55268862696397e-06,1.98712832805667e-05
-1.08602706517244e-05,1.55268862994147e-06,1.98705186400419e-05
-1.0860270655832e-05,1.552688622938e-06,1.98703470041144e-05
-1.08602706320467e-05,1.55268861708925e-06,1.98846490294327e-05
-1.0860270633639e-05,1.55268862124937e-06,1.98845981953924e-05
-1.08602706115899e-05,1.55268863734668e-06,1.9884983314436e-05
-1.08602705655605e-05,1.55268861857769e-06,1.98854434055469e-05
-1.08602705720393e-05,1.55268860269139e-06,1.98955509287406e-05
-1.08602705912888e-05,1.55268860055709e-06,1.98954655807116e-05
-1.08602705846638e-05,1.55268860279341e-06,1.98977522090602e-05
-1.08602705522885e-05,1.55268859691456e-06,1.98978094246422e-05
-1.0860270542945e-05,1.55268859904613e-06,1.98989986189218e-05
-1.086027056344e-05,1.55268860219846e-06,1.98989856477008e-05
-1.08602705514545e-05,1.55268860162669e-06,1.98989903487024e-05
-1.08602705172562e-05,1.55268861124776e-06,1.98989978682436e-05
-1.08602705242762e-05,1.55268862756018e-06,1.98991315414962e-05
-1.08602705228286e-05,1.55268864002082e-06,1.98991316736735e-05
-1.08602704810671e-05,1.55268865573857e-06,1.98991336394463e-05
-1.08602704601621e-05,1.55268866232302e-06,1.98991623097301e-05
-1.08602704648769e-05,1.55268865001631e-06,1.98991622359818e-05
-1.08602704814259e-05,1.55268864854702e-06,1.98991620702189e-05
-1.08602704726602e-05,1.55268866723134e-06,1.98991660510378e-05
-1.0860270444912e-05,1.55268868573314e-06,1.98991661559032e-05
-1.08602704211049e-05,1.55268871989617e-06,1.98991678119161e-05
-1.08602703989755e-05,1.55268872873676e-06,1.98991678445347e-05
-1.08602703944054e-05,1.552688725504e-06,1.98991678488538e-05
-1.08602703664505e-05,1.55268873532721e-06,1.98991678623986e-05
-1.08602703416559e-05,1.55268875994412e-06,1.98991681342477e-05
-1.0860270324336e-05,1.55268876040747e-06,1.98991681374431e-05
-1.08602702877358e-05,1.55268875273385e-06,1.98991684428346e-05
-1.08602702737318e-05,1.55268874443069e-06,1.98991684439239e-05
-1.08602702703749e-05,1.55268872941077e-06,1.9899168444084e-05
-1.08602702642674e-05,1.55268873301579e-06,1.98991684442272e-05
-1.08602702525826e-05,1.55268873892945e-06,1.9899168583311e-05
-1.08602702389544e-05,1.55268872837356e-06,1.98991685835797e-05
-1.08602702142028e-05,1.55268872850435e-06,1.98991685839157e-05
-1.0860270195226e-05,1.55268875797067e-06,1.98991687856497e-05
-1.08602701897772e-05,1.55268877053731e-06,1.98991687857872e-05
-1.08602701959556e-05,1.55268878418711e-06,1.98991689619423e-05
-1.08602702195665e-05,1.55268879230581e-06,1.9899168961576e-05
-1.08602702306034e-05,1.55268880679848e-06,1.98991689614601e-05
-1.08602702241456e-05,1.55268884956908e-06,1.98991690936012e-05
-1.08602702410195e-05,1.552688888214e-06,1.98991690933133e-05
-1.08602702606395e-05,1.55268890379228e-06,1.98991690931325e-05
-1.086027025855e-05,1.55268891412095e-06,1.98991692541386e-05
-1.08602702632136e-05,1.55268891183721e-06,1.98991692540732e-05
-1.08602702687285e-05,1.55268890550663e-06,1.98991692540286e-05
-1.08602702793177e-05,1.5526889083717e-06,1.98991693578438e-05
-1.08602702765899e-05,1.55268891156274e-06,1.9899169357888e-05
-1.08602702615062e-05,1.55268890938614e-06,1.9899169358025e-05
-1.08602702620752e-05,1.55268888446646e-06,1.98991693580369e-05
-1.08602702510331e-05,1.55268889284213e-06,1.98991694674288e-05
-1.0860270254941e-05,1.55268890674853e-06,1.98991694673487e-05
-1.08602702701198e-05,1.55268890543329e-06,1.98991695881356e-05
-1.08602702428272e-05,1.55268890414717e-06,1.98991695885252e-05
-1.0860270213983e-05,1.55268892199951e-06,1.98991695887702e-05
-1.08602701905309e-05,1.55268892891747e-06,1.98991695888965e-05
-1.08602701796988e-05,1.55268894199793e-06,1.98991697658233e-05
-1.08602701664222e-05,1.55268896223257e-06,1.98991697660099e-05
-1.08602701620327e-05,1.55268896149237e-06,1.98991698865446e-05
-1.08602701731427e-05,1.55268893317e-06,1.98991698864154e-05
-1.08602701989034e-05,1.55268892156701e-06,1.98991698861893e-05
-1.08602702386073e-05,1.55268891958758e-06,1.98991700246309e-05
-1.08602702488876e-05,1.5526889163957e-06,1.98991700244817e-05
-1.08602702437826e-05,1.55268890805743e-06,1.98991700245267e-05
-1.08602702429704e-05,1.55268890299013e-06,1.9899170074671e-05
-1.08602702325425e-05,1.55268891084075e-06,1.98991700748312e-05
-1.0860270219575e-05,1.55268892337626e-06,1.98991700750523e-05
-1.08602702255628e-05,1.55268892030402e-06,1.98991701479634e-05
-1.08602702251676e-05,1.55268892551188e-06,1.98991701479732e-05
-1.08602702264206e-05,1.55268893534055e-06,1.98991701479627e-05
-1.08602702305985e-05,1.55268894008118e-06,1.98991701479386e-05
-1.08602702235042e-05,1.55268895136838e-06,1.98991702444598e-05
-1.08602701961961e-05,1.55268894473796e-06,1.9899170244835e-05
-1.08602701567235e-05,1.55268896847676e-06,1.98991704554322e-05
-1.08602701302292e-05,1.55268898610836e-06,1.98991704558592e-05
-1.08602701081221e-05,1.55268898431124e-06,1.98991704560742e-05
-1.08602700912931e-05,1.55268898159301e-06,1.9899170456173e-05
-1.08602701005105e-05,1.55268897839986e-06,1.9899170536213e-05
