function,function,time_us
,time_us
Tempo por Loop, 78275.00000000
Tempo por Loop, 41404.00000000
Tempo por Loop, 124124.00000000
Tempo por Loop, 49446.00000000
Tempo por Loop, 45155.00000000
Tempo por Loop, 61609.00000000
Tempo por Loop, 45944.00000000
Tempo por Loop, 50212.00000000
Tempo por Loop, 46447.00000000
Tempo por Loop, 44480.00000000
Tempo por Loop, 48056.00000000
Tempo por Loop, 45520.00000000
Tempo por Loop, 42620.00000000
Tempo por Loop, 43763.00000000
Tempo por Loop, 46800.00000000
Tempo por Loop, 51382.00000000
Tempo por Loop, 43285.00000000
Tempo por Loop, 43850.00000000
Tempo por Loop, 45719.00000000
Tempo por Loop, 44535.00000000
Tempo por Loop, 45311.00000000
Tempo por Loop, 45542.00000000
Tempo por Loop, 47611.00000000
Tempo por Loop, 43184.00000000
Tempo por Loop, 43312.00000000
Tempo por Loop, 44442.00000000
Tempo por Loop, 47071.00000000
Tempo por Loop, 43679.00000000
Tempo por Loop, 41976.00000000
Tempo por Loop, 45584.00000000
Tempo por Loop, 44244.00000000
Tempo por Loop, 43740.00000000
Tempo por Loop, 44463.00000000
Tempo por Loop, 55213.00000000
Tempo por Loop, 59247.00000000
Tempo por Loop, 40427.00000000
Tempo por Loop, 45728.00000000
Tempo por Loop, 42376.00000000
Tempo por Loop, 44784.00000000
Tempo por Loop, 44776.00000000
Tempo por Loop, 44865.00000000
Tempo por Loop, 43559.00000000
Tempo por Loop, 41907.00000000
Tempo por Loop, 45291.00000000
Tempo por Loop, 44389.00000000
Tempo por Loop, 55592.00000000
Tempo por Loop, 46825.00000000
Tempo por Loop, 46401.00000000
Tempo por Loop, 45778.00000000
Tempo por Loop, 45781.00000000
Tempo por Loop, 45054.00000000
Tempo por Loop, 44617.00000000
Tempo por Loop, 44776.00000000
Tempo por Loop, 43737.00000000
Tempo por Loop, 45296.00000000
Tempo por Loop, 45324.00000000
Tempo por Loop, 45585.00000000
Tempo por Loop, 42273.00000000
Tempo por Loop, 45553.00000000
Tempo por Loop, 43882.00000000
Tempo por Loop, 42406.00000000
Tempo por Loop, 45492.00000000
Tempo por Loop, 45675.00000000
Tempo por Loop, 43996.00000000
Tempo por Loop, 45756.00000000
Tempo por Loop, 46445.00000000
Tempo por Loop, 42489.00000000
Tempo por Loop, 43594.00000000
Tempo por Loop, 45113.00000000
Tempo por Loop, 44809.00000000
Tempo por Loop, 44925.00000000
Tempo por Loop, 43686.00000000
Tempo por Loop, 44141.00000000
Tempo por Loop, 44981.00000000
Tempo por Loop, 43028.00000000
Tempo por Loop, 41557.00000000
Tempo por Loop, 44471.00000000
Tempo por Loop, 44794.00000000
Tempo por Loop, 49608.00000000
Tempo por Loop, 48328.00000000
Tempo por Loop, 42063.00000000
Tempo por Loop, 42886.00000000
Tempo por Loop, 42743.00000000
Tempo por Loop, 39838.00000000
Tempo por Loop, 39351.00000000
Tempo por Loop, 40924.00000000
Tempo por Loop, 39644.00000000
Tempo por Loop, 38284.00000000
Tempo por Loop, 40235.00000000
Tempo por Loop, 39756.00000000
Tempo por Loop, 40352.00000000
Tempo por Loop, 38390.00000000
Tempo por Loop, 43410.00000000
Tempo por Loop, 39402.00000000
Tempo por Loop, 41032.00000000
Tempo por Loop, 39229.00000000
Tempo por Loop, 37934.00000000
Tempo por Loop, 41027.00000000
Tempo por Loop, 46260.00000000
Tempo por Loop, 38101.00000000
Tempo por Loop, 38953.00000000
Tempo por Loop, 45255.00000000
Tempo por Loop, 41918.00000000
Tempo por Loop, 44065.00000000
