function,function, time_us
,time_us
Tempo por Loop, 30382.00000000
Tempo por Loop, 21761.00000000
Tempo por Loop, 26584.00000000
Tempo por Loop, 23614.00000000
Tempo por Loop, 24395.00000000
Tempo por Loop, 24403.00000000
Tempo por Loop, 24744.00000000
Tempo por Loop, 25587.00000000
Tempo por Loop, 21381.00000000
Tempo por Loop, 23876.00000000
Tempo por Loop, 23360.00000000
Tempo por Loop, 22453.00000000
Tempo por Loop, 24069.00000000
Tempo por Loop, 37484.00000000
Tempo por Loop, 24636.00000000
Tempo por Loop, 23805.00000000
Tempo por Loop, 21992.00000000
Tempo por Loop, 23524.00000000
Tempo por Loop, 24775.00000000
Tempo por Loop, 22665.00000000
Tempo por Loop, 27025.00000000
Tempo por Loop, 21698.00000000
Tempo por Loop, 26701.00000000
Tempo por Loop, 22668.00000000
Tempo por Loop, 21193.00000000
Tempo por Loop, 23073.00000000
Tempo por Loop, 24687.00000000
Tempo por Loop, 23216.00000000
Tempo por Loop, 22253.00000000
Tempo por Loop, 32289.00000000
Tempo por Loop, 23434.00000000
Tempo por Loop, 20870.00000000
Tempo por Loop, 25624.00000000
Tempo por Loop, 23439.00000000
Tempo por Loop, 25983.00000000
Tempo por Loop, 23087.00000000
Tempo por Loop, 21334.00000000
Tempo por Loop, 23109.00000000
Tempo por Loop, 25013.00000000
Tempo por Loop, 24500.00000000
Tempo por Loop, 26722.00000000
Tempo por Loop, 21823.00000000
Tempo por Loop, 21574.00000000
Tempo por Loop, 23566.00000000
Tempo por Loop, 45941.00000000
Tempo por Loop, 23959.00000000
Tempo por Loop, 21619.00000000
Tempo por Loop, 24452.00000000
Tempo por Loop, 23567.00000000
Tempo por Loop, 26420.00000000
Tempo por Loop, 23144.00000000
Tempo por Loop, 22914.00000000
Tempo por Loop, 25654.00000000
Tempo por Loop, 22632.00000000
Tempo por Loop, 22216.00000000
Tempo por Loop, 34533.00000000
Tempo por Loop, 23519.00000000
Tempo por Loop, 21824.00000000
Tempo por Loop, 26299.00000000
Tempo por Loop, 23233.00000000
Tempo por Loop, 22093.00000000
Tempo por Loop, 21296.00000000
Tempo por Loop, 27439.00000000
Tempo por Loop, 22470.00000000
Tempo por Loop, 25136.00000000
Tempo por Loop, 23428.00000000
Tempo por Loop, 22977.00000000
Tempo por Loop, 21132.00000000
Tempo por Loop, 24224.00000000
Tempo por Loop, 22410.00000000
Tempo por Loop, 27638.00000000
Tempo por Loop, 22928.00000000
Tempo por Loop, 22514.00000000
Tempo por Loop, 24874.00000000
Tempo por Loop, 22926.00000000
Tempo por Loop, 23347.00000000
Tempo por Loop, 25355.00000000
Tempo por Loop, 22777.00000000
Tempo por Loop, 30753.00000000
Tempo por Loop, 28090.00000000
Tempo por Loop, 21679.00000000
Tempo por Loop, 23272.00000000
Tempo por Loop, 21527.00000000
Tempo por Loop, 26632.00000000
Tempo por Loop, 22526.00000000
Tempo por Loop, 24940.00000000
Tempo por Loop, 22774.00000000
Tempo por Loop, 21025.00000000
