function,function,time_us
,time_us
Tempo por Loop, 27931.00000000
Tempo por Loop, 21612.00000000
Tempo por Loop, 26871.00000000
Tempo por Loop, 23273.00000000
Tempo por Loop, 21433.00000000
Tempo por Loop, 18497.00000000
Tempo por Loop, 19017.00000000
Tempo por Loop, 18252.00000000
Tempo por Loop, 15721.00000000
Tempo por Loop, 13978.00000000
Tempo por Loop, 18123.00000000
Tempo por Loop, 15091.00000000
Tempo por Loop, 13427.00000000
Tempo por Loop, 15338.00000000
Tempo por Loop, 15781.00000000
Tempo por Loop, 14501.00000000
Tempo por Loop, 14783.00000000
Tempo por Loop, 13402.00000000
Tempo por Loop, 17970.00000000
Tempo por Loop, 12983.00000000
Tempo por Loop, 17194.00000000
Tempo por Loop, 14486.00000000
Tempo por Loop, 15559.00000000
Tempo por Loop, 14971.00000000
Tempo por Loop, 14068.00000000
Tempo por Loop, 12637.00000000
Tempo por Loop, 14695.00000000
Tempo por Loop, 14165.00000000
Tempo por Loop, 13910.00000000
Tempo por Loop, 14728.00000000
Tempo por Loop, 13931.00000000
Tempo por Loop, 12447.00000000
Tempo por Loop, 15728.00000000
Tempo por Loop, 14208.00000000
Tempo por Loop, 14652.00000000
Tempo por Loop, 13891.00000000
Tempo por Loop, 13689.00000000
Tempo por Loop, 12743.00000000
Tempo por Loop, 14764.00000000
Tempo por Loop, 13709.00000000
Tempo por Loop, 16159.00000000
Tempo por Loop, 13068.00000000
Tempo por Loop, 14461.00000000
Tempo por Loop, 27181.00000000
Tempo por Loop, 15475.00000000
Tempo por Loop, 17321.00000000
Tempo por Loop, 13247.00000000
Tempo por Loop, 16585.00000000
Tempo por Loop, 15771.00000000
Tempo por Loop, 15691.00000000
Tempo por Loop, 14900.00000000
Tempo por Loop, 13083.00000000
Tempo por Loop, 14893.00000000
Tempo por Loop, 13887.00000000
Tempo por Loop, 14231.00000000
Tempo por Loop, 14558.00000000
Tempo por Loop, 14017.00000000
Tempo por Loop, 13710.00000000
Tempo por Loop, 14655.00000000
Tempo por Loop, 13883.00000000
Tempo por Loop, 12323.00000000
Tempo por Loop, 13662.00000000
Tempo por Loop, 14242.00000000
Tempo por Loop, 13389.00000000
Tempo por Loop, 14380.00000000
Tempo por Loop, 13506.00000000
Tempo por Loop, 13704.00000000
Tempo por Loop, 12527.00000000
Tempo por Loop, 15292.00000000
Tempo por Loop, 14669.00000000
Tempo por Loop, 14488.00000000
Tempo por Loop, 13933.00000000
Tempo por Loop, 12195.00000000
Tempo por Loop, 16259.00000000
Tempo por Loop, 13494.00000000
Tempo por Loop, 18012.00000000
Tempo por Loop, 16895.00000000
Tempo por Loop, 12530.00000000
Tempo por Loop, 19435.00000000
Tempo por Loop, 16394.00000000
Tempo por Loop, 13977.00000000
Tempo por Loop, 12680.00000000
Tempo por Loop, 13705.00000000
Tempo por Loop, 14696.00000000
Tempo por Loop, 14120.00000000
Tempo por Loop, 15974.00000000
Tempo por Loop, 13122.00000000
Tempo por Loop, 13432.00000000
Tempo por Loop, 12722.00000000
Tempo por Loop, 16101.00000000
Tempo por Loop, 13968.00000000
Tempo por Loop, 11996.00000000
Tempo por Loop, 15755.00000000
Tempo por Loop, 11957.00000000
Tempo por Loop, 16533.00000000
Tempo por Loop, 12136.00000000
Tempo por Loop, 19204.00000000
Tempo por Loop, 16147.00000000
Tempo por Loop, 12437.00000000
Tempo por Loop, 13758.00000000
Tempo por Loop, 12581.00000000
Tempo por Loop, 16096.00000000
Tempo por Loop, 12517.00000000
Tempo por Loop, 16377.00000000
Tempo por Loop, 13895.00000000
Tempo por Loop, 12325.00000000
Tempo por Loop, 16067.00000000
Tempo por Loop, 12413.00000000
Tempo por Loop, 14025.00000000
Tempo por Loop, 14492.00000000
Tempo por Loop, 14841.00000000
Tempo por Loop, 14295.00000000
Tempo por Loop, 14780.00000000
Tempo por Loop, 14213.00000000
Tempo por Loop, 12556.00000000
Tempo por Loop, 13883.00000000
Tempo por Loop, 14495.00000000
Tempo por Loop, 13266.00000000
Tempo por Loop, 18442.00000000
Tempo por Loop, 12579.00000000
Tempo por Loop, 14776.00000000
Tempo por Loop, 12964.00000000
Tempo por Loop, 20962.00000000
Tempo por Loop, 14955.00000000
Tempo por Loop, 12471.00000000
Tempo por Loop, 19232.00000000
Tempo por Loop, 12621.00000000
Tempo por Loop, 23894.00000000
Tempo por Loop, 14716.00000000
Tempo por Loop, 16481.00000000
Tempo por Loop, 17277.00000000
Tempo por Loop, 16863.00000000
Tempo por Loop, 12764.00000000
Tempo por Loop, 14894.00000000
Tempo por Loop, 16160.00000000
Tempo por Loop, 14994.00000000
Tempo por Loop, 14934.00000000
Tempo por Loop, 14726.00000000
Tempo por Loop, 15401.00000000
Tempo por Loop, 15134.00000000
Tempo por Loop, 15505.00000000
Tempo por Loop, 17389.00000000
Tempo por Loop, 14461.00000000
Tempo por Loop, 14803.00000000
Tempo por Loop, 18933.00000000
Tempo por Loop, 15166.00000000
Tempo por Loop, 16307.00000000
Tempo por Loop, 12701.00000000
Tempo por Loop, 18557.00000000
Tempo por Loop, 35585.00000000
Tempo por Loop, 16037.00000000
Tempo por Loop, 15063.00000000
Tempo por Loop, 12911.00000000
Tempo por Loop, 15177.00000000
Tempo por Loop, 15098.00000000
Tempo por Loop, 13895.00000000
Tempo por Loop, 15938.00000000
Tempo por Loop, 15598.00000000
Tempo por Loop, 15130.00000000
Tempo por Loop, 13212.00000000
Tempo por Loop, 16879.00000000
Tempo por Loop, 16409.00000000
Tempo por Loop, 13017.00000000
Tempo por Loop, 20318.00000000
Tempo por Loop, 20444.00000000
Tempo por Loop, 12991.00000000
Tempo por Loop, 15156.00000000
Tempo por Loop, 15533.00000000
Tempo por Loop, 16102.00000000
Tempo por Loop, 15165.00000000
Tempo por Loop, 31879.00000000
Tempo por Loop, 12826.00000000
Tempo por Loop, 16320.00000000
Tempo por Loop, 15059.00000000
Tempo por Loop, 17041.00000000
Tempo por Loop, 19794.00000000
Tempo por Loop, 17340.00000000
Tempo por Loop, 12909.00000000
Tempo por Loop, 27241.00000000
Tempo por Loop, 12956.00000000
Tempo por Loop, 12404.00000000
Tempo por Loop, 12812.00000000
Tempo por Loop, 14990.00000000
Tempo por Loop, 14475.00000000
Tempo por Loop, 14371.00000000
Tempo por Loop, 15117.00000000
Tempo por Loop, 14497.00000000
Tempo por Loop, 15186.00000000
Tempo por Loop, 14163.00000000
Tempo por Loop, 13973.00000000
Tempo por Loop, 14787.00000000
Tempo por Loop, 14762.00000000
Tempo por Loop, 14081.00000000
Tempo por Loop, 14864.00000000
Tempo por Loop, 13900.00000000
Tempo por Loop, 12089.00000000
Tempo por Loop, 15820.00000000
Tempo por Loop, 13657.00000000
Tempo por Loop, 12330.00000000
Tempo por Loop, 17940.00000000
Tempo por Loop, 13972.00000000
